Applied filters:,Date (Arrival Date) BETWEEN 05/01/2024 AND 04/30/2025
,
Stop Name,Sum of Passenger Alightings
Roanoke Blvd WB at Idaho/Roanoke (Carolina Forest Apts) (no number),2.00
Roanoke Blvd WB at McDivitt (East Salem Elementary) (no number),18.00
Roanoke Memorial Hospital (no number),745.00
Roanoke NB at Catawba (no number),135.00
Routt at Cove (no number),342.00
Routt at Ferncliff (no number),"1,415.00"
Rugby at 10th (no number),886.00
Rugby at 12th (no number),819.00
Rugby at 14th (no number),808.00
Rugby at 16th (no number),"1,856.00"
Rutgers SB at K&W (no number),216.00
Rutgers SB at Kroger Fuel Center (no number),387.00
S Jefferson at Yellow Mountain Road (1719),"3,470.00"
Salem at 18th (no number),"1,308.00"
Salem Avenue EB at 10th (no number),77.00
Salem Avenue EB at 13th (no number),89.00
Salem Avenue EB at 16th (no number),29.00
Salem Avenue EB at 6th (no number),382.00
Salem Avenue WB at 10th (no number),262.00
Salem Avenue WB at 12th (no number),"1,005.00"
Salem Avenue WB at 14th (no number),"1,924.00"
Salem Avenue WB at 16th (no number),857.00
Salem Avenue WB at 5th (no number),192.00
Salem Avenue WB at 6th (no number),"1,058.00"
Salem Avenue WB at 8th (no number),554.00
Salem EB at 4th (no number),718.00
Salem EB at 8th (no number),78.00
Salem Turnpike EB at 24th (no number),304.00
Salem Turnpike EB at 30th (no number),313.00
Salem Turnpike EB at 31st (Structural Steel) (no number),70.00
Salem Turnpike EB at Delta (no number),413.00
Salem Turnpike EB near 31st (Contractor's Building Supply) (no number),8.00
Salem Turnpike WB at 24th (no number),"3,401.00"
Salem Turnpike WB at 29th (no number),"2,544.00"
Salem Turnpike WB at 31st (Structural Steel) (no number),63.00
Salem Turnpike WB at Delta (no number),"2,442.00"
Salem Turnpike WB at Westwood (no number),1.00
Salem VA Medical Center (no number),"9,904.00"
Salem Walmart Parking Lot (no number),"9,661.00"
Shenandoah EB at 36th/Beech (no number),101.00
Shenandoah EB at Cherry Hill (no number),94.00
Shenandoah EB at Old Spanish Trail (no number),0.00
Shenandoah EB at Westside (Convenience Store) (no number),347.00
Shenandoah WB at 36th/Beech (no number),749.00
Shenandoah WB at 6th (no number),277.00
Shenandoah WB at 8th (no number),"1,573.00"
Shenandoah WB at Calvary Chapel (no number),"2,230.00"
Shenandoah WB at Food Lion (no number),"2,057.00"
Squires Student Center (no number),"3,988.00"
Staunton EB at 12th (no number),129.00
Staunton EB at 14th (no number),175.00
Staunton EB at 16th (no number),44.00
Staunton EB at 18th (no number),236.00
Staunton EB at 20th (no number),232.00
Staunton EB at 22nd (no number),37.00
Staunton EB at 24th (no number),84.00
Staunton EB at 25th (no number),196.00
Staunton WB at 12th (no number),645.00
Staunton WB at 14th (no number),493.00
Staunton WB at 16th (no number),431.00
Staunton WB at 18th (no number),"1,374.00"
Staunton WB at 20th (no number),510.00
Staunton WB at 22nd (no number),129.00
Staunton WB at 24th (no number),975.00
Staunton WB at Lafayette (no number),544.00
Tanglewood Mall (Barnes and Noble) (no number),"10,629.00"
Tanglewood Mall at TJ Maxx (no number),"5,337.00"
Tayloe SB at Miami (no number),6.00
Tayloe SB at Morton (no number),167.00
Tazewell EB at 4th (no number),"11,060.00"
Tazewell EB at 7th (no number),"1,271.00"
Tazewell EB at 8 1/2 (no number),"1,316.00"
Tazewell WB at 7th (no number),714.00
Tazewell WB at 8 1/2 (no number),228.00
Tazewell WB at I-581 Bridge (no number),998.00
Towers Mall at Dunkin Donuts (no number),"6,399.00"
Towne Square Blvd EB at Kroger (no number),"3,495.00"
Towne Square EB at ECPI (no number),12.00
Towne Square EB at Office Max (no number),123.00
Towne Square WB at Office Max (no number),"1,875.00"
Towne Square WB at Rutgers (Golden Corral) (no number),"3,407.00"
VA Veterans Care Center (no number),248.00
Valley Court (no number),"2,952.00"
Valley View Blvd SB at O'Charleys (no number),"1,628.00"
Valley View Blvd SB at Target (no number),"1,625.00"
Valley View Mall  (no number),"6,858.00"
Valley View Ring Road at Lewis Gale Clinic (no number),726.00
Valley View Ring Road at Walmart (no number),"24,358.00"
Valley View Ring Road SB at Olive Garden (no number),"1,622.00"
Valley View Ring Road SB at TGI Fridays (no number),939.00
Valley View Road at Best Western (no number),924.00
Valley View Road at Dollar Tree (no number),"1,379.00"
Valley View Road at Lewis Gale Clinic (no number),432.00
Valley View Road at Main Stay Hotel (no number),"1,015.00"
Vernon NB at Kenwood (no number),46.00
Vineyard NB at Lancerlot (no number),209.00
Vineyard NB at Verizon (no number),750.00
Vineyard SB at Rosies  (no number),"7,166.00"
Virginia EB at 3rd (no number),"1,760.00"
Virginia EB at Glade (Tinker Creek) (no number),137.00
Virginia EB at PFG (no number),339.00
Virginia WB at 2nd (no number),482.00
Virginia WB at 4th (no number),72.00
Virginia WB at Glade (Tinker Creek) (no number),19.00
VTC (no number),"8,481.00"
Walnut EB at 8th (Alvaro's Store) (no number),495.00
Walnut EB at Jefferson (no number),141.00
Walnut WB at Booker (no number),96.00
Walnut WB at Jefferson (no number),384.00
Wasena NB at Richard T Wellins Rd. (no number),11.00
Wasena SB at Hampton (no number),118.00
Wasena SB at Maiden (no number),"5,368.00"
Washington EB at Blair (no number),140.00
Washington EB at Maple (no number),498.00
Washington EB at Mountain View (no number),432.00
Washington EB at Pine (no number),499.00
Washington EB at River Park Shopping Center Driveway (no number),387.00
Washington WB at Blair (no number),0.00
Washington WB at Meadow (no number),107.00
Washington WB at Mountain View (no number),490.00
Washington WB at Poplar (no number),36.00
Washington WB at Preston (no number),32.00
Wells at Jefferson (no number),"1,368.00"
West Main EB at Broad (no number),625.00
West Main EB at Chestnut/Lewis (no number),342.00
West Main EB at Maple (no number),72.00
West Main EB at Mill/Spartan (Sheetz) (no number),240.00
West Main WB at Academy/Union (no number),975.00
West Main WB at Broad (no number),"1,119.00"
West Main WB at Goodwin (no number),"1,410.00"
West Main WB at Poplar (no number),"3,141.00"
West Main WB at Shanks (no number),247.00
West Main WB at Spartan (Kmart) (no number),"2,697.00"
West Main WB at Valleydale (no number),612.00
Westwood NB at Fairview Elementary (and Greenvale School) (no number),105.00
Westwood NB at Salem Turnpike (no number),116.00
Westwood NB at Shenandoah (no number),181.00
Westwood NB at Troutland (no number),12.00
Westwood SB at Fairview Elementary (and Greenvale School) (no number),"1,092.00"
Westwood SB at Shenandoah (no number),"1,141.00"
Westwood SB at Troutland (no number),272.00
Williamson NB at 10th (no number),"2,043.00"
Williamson NB at Angell (AutoZone) (no number),"1,627.00"
Williamson NB at Bowman (opposite NY Deli) (no number),851.00
Williamson NB at Carver (no number),"1,852.00"
Williamson NB at Clover (no number),612.00
Williamson NB at Compton (no number),"5,550.00"
Williamson NB at Frontier (no number),"1,674.00"
Williamson NB at Fugate (no number),757.00
Williamson NB at Laconia (no number),"1,334.00"
Williamson NB at Liberty (no number),"3,045.00"
Williamson NB at Maplelawn (no number),"2,668.00"
Williamson NB at Oakland (no number),"1,927.00"
Williamson NB at Preston (no number),"1,767.00"
Williamson NB at Rutherford (no number),"2,449.00"
Williamson NB at Sycamore (no number),706.00
Williamson NB at Truman (no number),"1,869.00"
Williamson SB at 10th (no number),516.00
Williamson SB at Angell (no number),191.00
Williamson SB at Berglund (no number),237.00
Williamson SB at Bowman (NY Deli) (no number),164.00
Williamson SB at Carver (Sheetz) (no number),255.00
Williamson SB at Chatham (no number),820.00
Williamson SB at Clover (no number),112.00
Williamson SB at Compton (no number),"1,295.00"
Williamson SB at Laconia (no number),522.00
Williamson SB at Liberty (no number),648.00
Williamson SB at Life Pointe (no number),146.00
Williamson SB at Lyndhurst (no number),5.00
Williamson SB at Oakland (no number),268.00
Williamson SB at Preston (no number),280.00
Williamson SB at Rutherford (Roanoke Civic Center) (no number),802.00
Williamson SB at Sycamore (no number),352.00
Williamson SB at Truman (no number),153.00
Williamson SB at Yardley (no number),274.00
Wise EB at 14th (no number),283.00
Wise EB at 16th (no number),575.00
Wise EB at 18th (no number),301.00
Wise EB at Indian Village (no number),"1,812.00"
Wise WB at 16th (no number),65.00
Wise WB at 18th (no number),217.00
Wise WB at Indian Village (no number),152.00
