Applied filters:,Date (Arrival Date) BETWEEN 05/01/2024 AND 04/30/2025
,
Stop Name,Sum of Passenger Alightings
Burrell NB at Whitten (no number),"1,869.00"
Burrell SB at Douglass (no number),154.00
Burrell SB at Whitten (no number),529.00
Burruss Hall (no number),175.00
Bypass SB at River Park Center (no number),352.00
Bypass SB at Roop (opposite Hardy Road CVS) (no number),533.00
Campbell Ave at Market (no number),"1,923.00"
Campbell EB at 5th (no number),246.00
Campbell EB at 7th (no number),398.00
Campbell EB at 8 1/2 (no number),154.00
Campbell EB at Norfolk (Citgo station) (no number),69.00
Campbell WB at 3rd (no number),882.00
Campbell WB at 5th (no number),"1,253.00"
Campbell WB at 7th (no number),196.00
Campbell WB at 8 1/2 (no number),194.00
Campbell WB at Norfolk (Valley Metro Admin Bldg) (no number),885.00
Carillion Roanoke Memorial Hospital  (1708),"3,478.00"
Carlton SB at Avenel (no number),62.00
Carlton SB at Grandin (no number),412.00
Carlton SB at Northview (no number),51.00
Centre EB at 5th (no number),73.00
Centre EB at 7th (no number),137.00
Chesterfield NB at Berkley (no number),279.00
Chesterfield NB at Mountain View (no number),7.00
Chesterfield SB at Berkley (no number),34.00
Chesterfield SB at Memorial (no number),39.00
Church & Market (1713),"2,674.00"
Clearview Manor on Vinyard (no number),"2,374.00"
College NB at East Main (no number),"1,005.00"
College SB at 4th (no number),384.00
College SB at Calhoun (no number),333.00
Colonial NB at 220S On-Ramp  (no number),38.00
Colonial NB at Brandon (no number),711.00
Colonial NB at Broadway (Colonial Hills Office Building) (no number),409.00
Colonial NB at Clearfield (no number),78.00
Colonial NB at McNeil (VWCC) (no number),3.00
Colonial NB at Overland (VWCC Parking Lot) (no number),5.00
Colonial NB at Pasley (no number),1.00
Colonial NB at Winding Way (no number),2.00
Colonial NB at Woodland (no number),4.00
Colonial SB at 220S On-Ramp (The Roanoker) (no number),437.00
Colonial SB at Broadway (Colonial Hills Office Building) (no number),766.00
Colonial SB at Clearfield (no number),376.00
Colonial SB at Overland (no number),7.00
Colonial SB at Pasley (no number),53.00
Colonial SB at Towers Shopping Center (no number),"6,480.00"
Colonial SB at VWCC Pedestrian Overpass (no number),"4,472.00"
Colonial SB at Woodland (no number),132.00
Colonial SB at Wright (no number),7.00
Colorado SB at Rowan (no number),126.00
Cove  at Golfside (no number),63.00
Cove at Abbott (no number),488.00
Cove at Fairland (no number),860.00
Cove at Golfside (no number),522.00
Cove at Guildhall (no number),529.00
Cove at Hershberger (Lee Hartman) (no number),305.00
Cove at Hershberger (Roanoke Firearms) (no number),274.00
Cove at Sherman (no number),255.00
Cove SB at Food Lion Entrance (no number),"6,997.00"
Cove SB at Lynnhope (no number),194.00
Cove SB at Ranch (no number),62.00
Cove SB at Routt (no number),80.00
Cove SB at Willow Walk (no number),8.00
CRC (no number),33.00
Dale EB at 19th (no number),736.00
Dale EB at 21st (no number),839.00
